Event	ID	Name			Wwise Object Path	Notes
	372282906	Slide_Grass_Start			\Default Work Unit\Movement\Slide\Slide_Grass_Start	
	377821069	WallJump			\Default Work Unit\Movement\WallJump	
	674522502	Land			\Default Work Unit\Movement\Land	
	712161704	Run			\Default Work Unit\Movement\Run	
	1626612047	Forrest_Ambience			\Default Work Unit\Ambience\Forrest_Ambience	
	1784391046	Forrest_Music_Calm			\Default Work Unit\Music\Forrest_Music_Calm	
	1941804606	LedgeGrab			\Default Work Unit\Movement\LedgeGrab	
	2512384458	Fall			\Default Work Unit\Movement\Fall	
	2655407367	Crouch			\Default Work Unit\Movement\Crouch	
	3202311090	WallLand			\Default Work Unit\Movement\WallLand	
	3833651337	Jump			\Default Work Unit\Movement\Jump	
	3877024505	Slide_Grass_End			\Default Work Unit\Movement\Slide\Slide_Grass_End	

Effect plug-ins	ID	Name	Type				Notes
	33041549	Compressor_Rocks	Wwise Compressor			
	3657550167	New_Parametric_EQ	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	111870353	xfchiba_walking_sprinting_2	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\xfchiba_walking_sprinting_2_7B24374B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Walk\xfchiba_walking_sprinting_2		44280
	175946782	Wall land Transient	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_GF_fx_gravel_one_shots_footstep_boots_dry_jumping_crunchy_exterior_1_B8ED102C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Wall land\Wall land Transient		153456
	244096525	xfchiba_walking_sprinting_3	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\xfchiba_walking_sprinting_3_7C61687F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Walk\xfchiba_walking_sprinting_3		44384
	352336099	xfchiba_walking_sprinting_1	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\xfchiba_walking_sprinting_1_107B7DA3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Walk\xfchiba_walking_sprinting_1		44384
	368429757	Wall land slide	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_EMDP1_fx_foley_loop_dumping_gravel_sack_bulk_falling_1460811F.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Wall land\Wall land slide		10113336
	409055721	Slide Grass End	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\Slide_end_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Slide\Slide Grass End		95220
	449433574	Land	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\ESM_Land_3_Airy_Whoosh_Pass_By_30679750.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Land		26492
	610952777	Slide Grass Loop	H:\Redhood\Redhood\addons\Wwise\.cache\Windows\SFX\Slide_loop_DC62293A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Movement\Slide\Slide Grass Loop		2835932
